russian_tv,pro_russian_vote,within_25km
1,0,1
1,1,1
0,0,0
0,0,1
0,0,1
1,0,0
0,0,1
0,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0,0,0
0,0,0
1,0,1
1,0,1
1,0,1
1,1,1
1,1,1
1,1,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0,0,1
0,0,1
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
1,0,1
1,0,1
1,0,1
1,0,1
0,0,0
0,0,0
1,0,0
1,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,1,0
0,1,0
0,0,0
1,0,1
1,1,1
1,1,1
1,1,1
1,0,1
1,1,1
1,0,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,0,1
1,0,1
1,0,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,0,1
1,1,1
1,1,1
1,0,1
1,0,1
1,0,1
1,0,0
1,1,1
1,0,1
1,0,1
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
1,1,1
1,1,1
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
1,0,1
1,0,1
1,1,1
1,0,1
1,0,1
1,1,1
1,0,1
1,1,1
1,1,1
1,0,1
1,0,1
1,1,1
1,0,1
0,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,0,1
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,0,1
1,0,1
1,1,1
1,0,1
1,1,1
1,1,1
1,0,1
1,1,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,1
1,1,1
1,1,1
1,0,1
1,1,1
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,1,0
1,0,1
1,0,1
1,0,1
1,0,1
1,1,1
1,1,1
0,0,0
1,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
0,0,0
0,0,0
0,1,0
1,1,0
1,1,0
1,1,0
0,0,0
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
1,0,1
1,1,1
1,0,1
1,1,1
1,1,1
1,0,1
1,0,1
1,1,1
1,1,1
1,0,1
1,0,1
0,1,0
0,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0,0,0
0,0,0
0,0,0
0,0,1
0,1,1
0,0,1
0,0,1