country,gdp,prior_gdp,light,prior_light
USA,11.10679316,7.373445749,4.227016781,4.482170998
Japan,543.0169338,464.1676591,11.92591769,11.80795392
Germany,2.152312442,1.792502747,10.57326684,9.699424881
China,16.55816655,4.900694027,1.451034201,0.735017456
UK,1.098384022,0.753747917,11.85554258,13.39195406
France,1.582366982,1.207904483,8.512995967,6.909037476
Albania,0.501587474,0.231401779,2.026814288,0.4138207
Algeria,0.32350349,0.212466533,0.486657786,0.473110323
Angola,0.003544499,0.001472475,0.05414023,0.032691038
Antigua and Barbuda,0.001905568,0.001116855,11.89651952,8.774662651
Azerbaijan,0.011544727,0.006051771,2.029455169,2.175190872
Argentina,0.31740252,0.229815244,0.641698249,0.420320367
Australia,0.997419262,0.61571937,0.158016218,0.142925014
Austria,0.229786753,0.173707733,6.780558816,4.731001868
Bahamas,0.004396887,0.002996741,1.745687492,1.414417485
Bangladesh,2.756811365,1.423487353,1.742770675,1.770120044
Armenia,1.518595703,0.580454988,1.565296829,0.848531543
Belgium,0.276184138,0.209445216,24.13214178,25.94708235
Bermuda,0.003872269,0.002481719,32.56065657,36.74879634
Bhutan,0.029059556,0.012839781,0.144087928,0.044227935
Bolivia,0.027894539,0.016873132,0.14106386,0.12473507
Botswana,0.023735006,0.011137494,0.091158661,0.040474911
Brazil,1.379717567,0.948909198,0.665656843,0.477101171
Belize,0.00221286,0.001205955,0.826342063,0.322860208
Solomon Islands,0.003036099,0.002603256,0.020899061,0.021858406
Brunei Darussalam,0.011713028,0.008972626,5.717297219,3.747801406
Bulgaria,0.039829099,0.0298756,3.050087383,2.934046819
Myanmar,4.967956825,1.435440197,0.111321883,0.089461355
Burundi,0.119814276,0.131471324,0.118040294,0.112701668
Belarus,13.75907716,8.843680556,1.667193076,1.854233157
Cambodia,23.16409161,8.521463049,0.086629116,0.027670458
Cameroon,8.059376893,5.292116115,0.072430086,0.065443305
Canada,1.237360713,0.806663166,0.719414045,0.991407477
Cape Verde,0.021482909,0.010323313,1.778249534,0.648816822
Central African Republic,0.663555677,0.540623697,0.004943919,0.007349741
Sri Lanka,2.014734693,1.085355579,3.671138469,2.046929814
Chad,1.644547906,0.704358867,0.008044361,0.002991429
Chile,58.56199339,31.43170926,0.641754323,0.350275911
Colombia,246.1050972,166.5433673,0.770922369,0.650861247
Comoros,0.087646294,0.0709378,0.578996711,0.39424171
Congo,0.60103423,0.428658332,0.142321494,0.050662226
Democratic Republic of the Congo,1.89E-12,2.03E-12,0.025292297,0.022393319
Costa Rica,1.813756738,0.992012057,3.164475095,1.947588619
Croatia,0.225744503,0.139084581,6.313772656,2.253078947
Cyprus,0.006032847,0.0037116,10.32757897,7.690572234
Czech Republic,2.718059938,1.877316084,10.33899551,8.757785658
Benin,0.964742541,0.543256445,0.144333608,0.104211927
Denmark,1.404037532,1.033977812,7.795697192,7.937732196
Dominica,0.000566336,0.000464909,2.505625917,1.533202731
Dominican Republic,0.275678893,0.141241974,2.995496974,1.866777302
Ecuador,0.021146378,0.014248984,1.774133022,1.072043321
El Salvador,0.008594053,0.005541281,4.956242664,3.049986304
Ethiopia,0.095859006,0.045820633,0.050924202,0.020239473
Eritrea,0.003643562,0.002327459,0.066189555,0.024167193
Estonia,0.146425918,0.071046667,2.757068628,1.913229219
Fiji,0.003530627,0.002545174,0.706143034,0.476931259
Finland,0.153402418,0.097792919,4.465735709,4.064958741
Djibouti,0.079298809,0.074345296,0.173085713,0.144235258
Gabon,1.856467736,1.505964789,0.230510697,0.199301553
Georgia,0.006879197,0.004500589,0.8075933,1.117863102
Gambia,0.003140396,0.001934624,0.318988553,0.206391654
Ghana,1.38E-06,7.67E-07,0.507415203,0.330131071
Kiribati,7.12E-05,4.01E-05,0.132388547,0.062212741
Greece,0.172260291,0.111347382,5.584680412,3.439881133
Grenada,0.000911557,0.000600701,7.717856446,4.198181662
Guatemala,0.171148106,0.106306388,1.647904739,0.731765611
Guinea,5.388892588,3.31184166,0.042025692,0.028034908
Guyana,0.006274401,0.004534175,0.053680613,0.037053781
Haiti,0.004419454,0.004581117,0.277603254,0.284562581
Honduras,0.138024065,0.086764414,1.189325318,0.489487848
Hungary,16.99194248,10.66708773,5.454365941,3.778391902
Iceland,0.861495355,0.515975964,0.677667055,0.498891064
India,29.79313376,13.02437284,2.784474861,2.113729106
Indonesia,1798.327102,1111.867415,0.84559937,0.50993249
Iran (Islamic Republic of),435.3155495,260.4618795,2.607728157,1.67949704
Ireland,0.140585903,0.056652958,5.957144157,4.022950451
Israel,0.61306628,0.361318495,17.19934057,13.1245352
Italy,1.254920402,1.036625858,14.04294149,11.43712195
Côte d'Ivoire,6.75032162,5.342735377,0.423028797,0.158900916
Jamaica,0.563410238,0.473209891,7.982829473,7.04475342
Kazakhstan,1.975864179,1.326547637,0.347227567,0.435373829
Jordan,0.007629958,0.004058165,2.295597266,1.517599235
Kenya,1.210697725,0.823100502,0.120858526,0.092713357
Republic of Korea,887.3613294,459.339568,15.87776587,11.18262238
Kyrgyzstan,0.025935388,0.02323264,0.565137092,0.592472552
Lao People's Democratic Republic,1.587391066,0.70146163,0.090468993,0.032819113
Lebanon,32.40620994,19.83303418,16.03131888,7.490432769
Lesotho,0.00443797,0.00289314,0.266891817,0.176989369
Latvia,0.00745998,0.003654601,1.443518907,1.122311023
Liberia,0.000427563,0.000182976,0.04043258,0.005834731
Lithuania,0.069119889,0.043675512,2.270457327,1.564683229
Luxembourg,0.027204845,0.015198778,17.46219539,16.15277106
Madagascar,0.534683079,0.376112589,0.020810105,0.015817288
Malawi,0.015885677,0.010982698,0.30754499,0.242534066
Malaysia,0.462039087,0.224301546,2.584452467,1.092971402
Mali,1.339951528,0.703714302,0.022600861,0.009089937
Malta,0.000663518,0.000437994,45.69159821,44.18754005
Mauritania,0.32227669,0.201546393,0.012700861,0.007125217
Mauritius,0.128587074,0.070915884,12.40514405,8.129996969
Mexico,8.303385829,5.74102163,2.006104233,1.57264677
Mongolia,2.896065143,1.657971119,0.020452447,0.020491392
Republic of Moldova,0.010528549,0.012145614,1.981492381,5.600132405
Morocco,0.519582612,0.317260889,0.701631863,0.364338186
Mozambique,0.135279848,0.052462021,0.053731409,0.024811989
Oman,0.007348023,0.004261918,1.511657808,0.930519695
Namibia,0.045295013,0.026168183,0.053111117,0.039487025
Nepal,0.505159062,0.292123949,0.332614238,0.16992654
Netherlands,0.450557562,0.320845795,20.83156656,22.63728643
Vanuatu,0.018559596,0.013904897,0.105203851,0.160843883
New Zealand,0.140794944,0.089775779,0.780077338,0.704785085
Nicaragua,0.032221629,0.019400197,0.465450527,0.302746522
Niger,1.076453374,0.689899244,0.014393422,0.011846856
Nigeria,9.445253993,5.644538716,0.923886634,1.385896637
Norway,1.673647699,1.11409045,2.841292887,3.171643496
Micronesia (Federated States of),0.000206993,0.000215885,0.929727462,0.986256709
Marshall Islands,0.000128273,0.000125838,1.097874797,0.923121816
Palau,0.000112809,8.55E-05,0.921413709,0.460436134
Pakistan,5.030325136,2.967560777,2.628500412,2.034251039
Panama,0.01462765,0.008437125,1.137391615,0.637925185
Papua New Guinea,0.008489782,0.007033526,0.094276561,0.047184877
Paraguay,16.00409614,12.50338557,0.335517611,0.200585619
Peru,0.154285359,0.085364532,0.299028967,0.177091094
Philippines,1.243384086,0.726508346,1.127882565,0.734073991
Poland,0.944726713,0.527196407,7.96356517,3.969367636
Portugal,0.128526019,0.096052459,9.795866269,5.27685018
Guinea-Bissau,0.000936707,0.000972935,0.022053765,0.042286812
Romania,0.299367635,0.207409016,3.030476734,1.436748138
Russian Federation,10.1990115,8.419053091,0.796452641,0.974186015
Rwanda,0.777650712,0.525871757,0.16676834,0.214160443
Saint Kitts and Nevis,0.000783048,0.000460401,10.31884155,7.694377844
Saint Lucia,0.001704732,0.001193548,9.899066051,6.460187119
Saint Vincent and the Grenadines,0.00090159,0.000578405,5.925162211,4.822526005
Saudi Arabia,0.774218649,0.552696296,1.343071503,1.093389623
Senegal,4.153322504,2.52099683,0.192627713,0.106579185
Seychelles,0.002645397,0.001907488,8.793393844,9.409220934
Sierra Leone,0.121271474,0.082116192,0.030620023,0.030738144
Slovakia,1.242819781,0.703900897,6.306197914,7.451511451
Viet Nam,408.8818384,157.7896023,1.902762187,0.47815275
Slovenia,0.022758957,0.013487297,7.435941814,4.475858758
South Africa,1.144033316,0.750397014,1.299851938,1.028787746
Zimbabwe,0.01793308,0.020746232,0.239304855,0.241601043
Spain,0.754280039,0.492445378,6.734643984,4.985306588
Sudan,0.020542111,0.00972731,0.07651196,0.04351688
Suriname,5.54E-06,3.84E-06,0.144890775,0.091171768
Swaziland,0.011738144,0.007583979,1.545246947,0.908529849
Sweden,2.60425848,1.784462421,3.580747526,4.116553048
Switzerland,0.456651814,0.376031534,11.32936701,8.426676879
Syrian Arab Republic,1.163439754,0.706079247,3.564248308,2.72564435
Tajikistan,0.002889787,0.002829324,0.787571333,0.881203094
Thailand,3.957545804,2.374870559,2.505669676,1.342923653
Togo,0.31600532,0.197170695,0.217503108,0.227727877
Tonga,0.000301997,0.000233058,2.427909217,2.458683872
Trinidad and Tobago,0.080087698,0.037708282,14.08142359,10.96208825
United Arab Emirates,0.293315958,0.136242598,7.875918963,5.225820915
Tunisia,0.021928694,0.012247038,2.550109059,1.616917357
Turkey,0.093567021,0.055669841,2.006576244,1.496367536
Turkmenistan,2.36E-05,1.16E-05,0.67148688,0.40300043
Uganda,13.79760376,5.726236126,0.09222259,0.065628085
Ukraine,0.318820491,0.375033768,2.402270708,4.249174686
The former Yugoslav Republic of Macedonia,0.214615005,0.181406373,3.220277221,1.775088171
Egypt,0.246666303,0.141103034,1.852054303,1.085174792
Isle of Man,0.001551398,0.000647734,8.41276347,7.178361288
United Republic of Tanzania,2.538870279,1.378113223,0.059066939,0.043376585
Burkina Faso,2.606872553,1.252471778,0.091117441,0.042303693
Uruguay,0.434783819,0.341299579,0.580799081,0.484518993
Uzbekistan,1.486802454,0.983226379,1.635382109,1.832311971
Venezuela,0.048871355,0.038868261,1.424397161,1.214891995
Samoa,0.001036411,0.000620675,0.552702475,0.384451275
Yemen,0.270938873,0.142525797,0.649841368,0.348539873
Zambia,3.252155015,2.372258356,0.096819804,0.086529167